date,Soil_Moisture_%
2019-12-05,50.431
2019-12-05,51.757
2019-12-10,53.166
2019-12-10,53.83
2019-12-17,49.055
2019-12-17,53.958
2019-12-22,52.897
2019-12-22,54.524
2019-12-29,50.483
2019-12-29,53.157
2020-01-03,52.832
2020-01-03,53.42
2020-01-10,48.147
2020-01-10,53.622
2020-01-15,52.658
2020-01-15,53.782
2020-01-22,50.406
2020-01-22,53.086
2020-07-25,45.978
2020-07-25,50.914
